Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/FearlessSolutions/Fearless-Exhibit/main/Fearless 01.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/FearlessSolutions/Fearless-Exhibit/main/Fearless 02.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://raw.githubusercontent.com/FearlessSolutions/Fearless-Exhibit/main/Fearless 03.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://raw.githubusercontent.com/FearlessSolutions/Fearless-Exhibit/main/Fearless 04.png,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes

